index,x,y,z,xn,yn,zn,error
183,-4.511630,44.539190,3.243516,-0.501072,0.826835,0.255482,37.356967
184,-4.163879,44.369968,4.130043,-0.453314,0.832778,0.317786,15.858739
185,-3.899184,43.979422,5.048474,-0.415304,0.820880,0.392019,32.698509
186,-3.988447,43.498543,5.799634,-0.396607,0.794955,0.459074,21.893763
187,-4.118597,42.641806,6.626159,-0.411235,0.731565,0.543782,16.888502
188,-4.319656,41.881549,7.192239,-0.391234,0.716537,0.577504,48.641030
189,-4.743782,41.064917,7.493415,0.414872,-0.672015,-0.613414,22.843291
190,-5.297386,40.336377,7.919194,0.472577,-0.616879,-0.629390,38.354147
191,-5.689131,39.557974,8.146775,0.496377,-0.603402,-0.624112,14.584196
192,-6.289875,38.778215,8.335381,0.455628,-0.585830,-0.670228,29.324965
193,-6.890560,38.045441,8.494771,0.449508,-0.567777,-0.689617,27.942165
194,-7.533559,37.355418,8.645780,0.577293,-0.577604,-0.577153,23.910011
195,-8.445854,36.437560,8.862763,0.593718,-0.593577,-0.543291,46.720210
196,-7.583959,35.154069,10.103872,-0.427771,0.537725,0.726542,75.567748
197,-7.282835,34.491915,10.148327,-0.399247,0.513746,0.759386,44.314353
198,-10.284787,34.399621,9.335511,-0.573632,0.663913,0.479756,27.869446
199,-10.891756,33.694013,9.525929,-0.566391,0.678559,0.467717,26.476759
200,-11.546779,32.936772,9.722962,-0.580471,0.668411,0.465059,26.991644
201,-12.151351,32.193434,9.981279,-0.620958,0.655157,0.430326,31.200901
202,-12.705522,31.535687,10.250774,-0.667182,0.642155,0.377500,28.771051
203,-13.406335,30.785183,10.378662,0.673487,-0.630024,-0.386632,89.968271
204,-13.865558,29.845561,10.897634,-0.679826,0.617702,0.395323,24.167470
205,-14.330193,29.072853,11.202887,-0.741851,0.571098,0.351433,24.897244
206,-14.778167,28.291318,11.527257,-0.745462,0.555353,0.368606,22.990378
207,-15.207061,27.452509,11.888610,-0.756270,0.535379,0.376064,22.124080
208,-15.594830,26.621277,12.234829,-0.766097,0.513970,0.385916,20.186681
209,-15.965283,25.747734,12.607043,-0.774945,0.492061,0.396656,19.634189
210,-16.303676,24.881863,12.972688,-0.780633,0.476403,0.404541,22.884818
211,-16.590635,24.019638,13.348965,-0.787911,0.454392,0.415601,19.921020
212,-16.864931,23.213277,13.726154,-0.792642,0.427569,0.434631,32.289367
213,-17.216885,22.656907,13.859167,0.793413,-0.422581,-0.438089,33.775456
214,-17.305952,21.344607,14.633520,-0.798778,0.391512,0.456807,31.731944
215,-17.408028,20.550903,15.034390,-0.804440,0.376432,0.459538,31.136069
216,-17.455963,19.634132,15.452389,-0.810204,0.355221,0.466248,27.038090
217,-17.515785,18.757923,15.913715,-0.810724,0.342902,0.474494,22.781144
218,-17.582980,17.906147,16.404852,-0.747947,0.360787,0.557143,21.947624
219,-17.574974,17.003736,16.894439,-0.642984,0.420017,0.640436,29.206812
220,-17.591455,16.183196,17.376389,-0.579170,0.436975,0.688197,26.786491
221,-17.564232,15.307934,17.876093,-0.569683,0.419191,0.706924,30.354790
222,-17.532970,14.455053,18.360942,-0.471081,0.387595,0.792372,32.528312
223,-17.477953,13.594141,18.826405,-0.515974,0.389038,0.763165,25.690341
224,-17.535070,12.837880,19.232323,-0.673069,0.335347,0.659181,56.930769
225,-17.345782,11.657466,19.790882,-0.843694,0.158230,0.512976,40.931237
226,-17.293889,10.847439,20.074056,-0.839750,0.143715,0.523608,23.411699
227,-17.272164,9.903323,20.381127,-0.843626,0.126489,0.521819,31.256857
228,-17.333712,8.948255,20.627013,-0.833450,0.087147,0.545680,36.832901
229,-17.309080,7.982863,20.776694,-0.830857,0.075631,0.551322,25.375397
230,-17.535387,6.827509,21.452580,-0.821629,0.048112,0.567988,65.386422
231,-17.338715,5.955473,21.123428,-0.801287,0.029295,0.597563,76.414179
232,-17.787910,4.764938,22.576476,-0.781262,-0.024098,0.623738,52.932170
233,-16.760071,3.996428,21.472373,-0.773337,-0.045255,0.632378,98.940890
234,-17.692497,3.348507,20.789051,-0.758076,-0.037267,0.651101,44.623919
235,-17.828949,1.970667,20.474996,-0.725742,-0.089635,0.682102,39.296035
236,-17.790035,1.131214,20.255550,-0.709323,-0.094515,0.698519,49.521654
237,-18.018480,0.184028,20.159495,-0.698594,-0.122806,0.704901,82.784900
238,-18.201980,-0.897873,20.206471,0.678043,0.156168,-0.718241,38.230551
239,-18.228854,-1.783266,19.806563,0.658760,0.191738,-0.727511,39.093747
240,-18.507054,-2.853024,19.879122,0.645883,0.215724,-0.732324,43.354249
241,-18.239337,-3.685302,19.008470,-0.637310,-0.243778,0.731032,46.595434
242,-18.283679,-4.594996,18.702124,-0.640846,-0.263034,0.721200,42.319492
243,-18.479542,-5.488928,18.376570,-0.640015,-0.276917,0.716727,50.148929
244,-18.478828,-6.422721,18.071923,-0.700080,-0.313518,0.641556,46.316650
245,-18.496168,-7.406824,17.729105,-0.786645,-0.271318,0.554596,86.028560
246,-18.407050,-8.251653,17.287094,-0.768070,-0.321532,0.553792,53.544621
247,-18.300187,-9.133365,16.809187,-0.754424,-0.353793,0.552879,56.466244
248,-18.241656,-9.987518,16.364477,-0.750188,-0.369294,0.548488,44.380490
249,-18.104571,-10.899385,15.914960,-0.732210,-0.402795,0.549204,36.582388
250,-17.951857,-11.745852,15.398276,0.721418,0.424305,-0.547286,35.297132
251,-17.806770,-12.584655,14.926010,0.708315,0.452532,-0.541761,33.498146
252,-17.586392,-13.434285,14.409690,0.700412,0.495765,-0.513458,33.060485
253,-17.422328,-14.199793,13.921817,0.697347,0.523628,-0.489409,26.196727
254,-17.153493,-15.046275,13.393334,-0.696728,-0.551676,0.458502,30.678041
255,-16.920986,-15.872827,12.932865,-0.688426,-0.582583,0.432048,28.908524
256,-16.542325,-16.672408,12.367019,-0.685986,-0.634666,0.355840,41.196155
257,-16.728830,-17.533751,11.203968,0.706855,0.655923,-0.264805,49.238331
258,-15.835931,-18.035891,11.512351,0.710794,0.668324,-0.219352,127.244175
259,-15.109458,-18.828888,11.266784,-0.686713,-0.703719,0.182220,107.831707
260,-14.647630,-19.236286,10.384511,-0.685746,-0.720933,0.100039,49.468536
261,-13.794006,-19.731079,9.862798,-0.633546,-0.761577,0.136451,0.353165
262,-13.907564,-20.286566,8.575931,0.534046,0.809434,-0.244156,41.008883
263,-13.453901,-20.721058,7.936926,0.505326,0.826893,-0.246768,39.921135
264,-13.163859,-21.197701,6.942638,0.457977,0.858309,-0.231436,11.573129
265,-12.385724,-21.176113,6.117395,0.450222,0.855943,-0.254287,37.175641
266,-11.738977,-21.263727,5.535598,0.454399,0.857380,-0.241704,21.243037
267,-11.433606,-21.444277,4.436938,0.457787,0.855421,-0.242253,28.002387
268,-11.013419,-21.516720,3.686730,0.460117,0.843008,-0.278621,21.537680
269,-10.191654,-21.926433,3.510439,0.444361,0.851253,-0.279126,14.697161
270,-9.420390,-22.578637,3.803614,0.422624,0.861808,-0.280492,28.245220
271,-8.730827,-23.133716,4.020943,0.410724,0.864896,-0.288548,36.544221
272,-8.188132,-24.038515,3.907059,0.404360,0.867190,-0.290644,23.443300
273,-7.284666,-24.587271,3.500805,-0.429259,-0.843193,0.323671,4.981853
274,-7.168520,-25.829359,4.255567,-0.435180,-0.848216,0.301908,2.144881
275,-1.550908,-28.935240,2.250031,-0.049893,-0.980747,0.188800,49.196346
276,-4.670161,-28.989939,-5.625862,0.248467,-0.966707,0.061171,88.057658
277,2.825838,-26.482053,3.431048,0.328341,-0.943886,-0.035660,18.838779
278,-0.823405,-27.829768,0.524541,-0.062153,0.997890,-0.018769,44.157819
280,2.403524,-26.411870,3.402531,0.204329,-0.973328,-0.104315,14.750880
281,2.396422,-26.351107,3.071785,0.204329,-0.973328,-0.104315,2.400451
284,-1.329137,-27.160698,1.199465,0.031659,-0.992630,0.116974,20.757369
285,-2.806112,-27.112359,0.480740,-0.111123,-0.993756,0.010002,27.983239
286,-3.115041,-27.026978,1.031598,-0.214673,-0.970119,0.113065,16.317932
287,-3.890494,-26.890653,0.961658,-0.243649,-0.955400,0.166869,2.280605
288,-4.815276,-26.738601,0.952321,-0.284596,-0.925157,0.251177,2.253700
289,-6.407600,-26.322443,1.381400,-0.365778,-0.878489,0.307350,35.170901
290,-6.632093,-26.446461,0.588676,-0.373845,-0.895585,0.241181,60.618270
291,-7.876948,-26.035274,0.890286,-0.362201,-0.850999,0.380277,25.542020
292,-8.705332,-25.727066,0.782292,-0.371815,-0.843607,0.387402,32.985692
293,-9.612622,-25.453157,0.676237,-0.386777,-0.837358,0.386309,40.870279
294,-10.664904,-25.257564,1.064732,-0.416286,-0.826970,0.377925,65.449236
295,-12.064981,-24.271290,0.980283,-0.467980,-0.813313,0.345712,16.497900
296,-12.620906,-23.889338,0.735789,-0.510847,-0.786171,0.347808,6.927047
