index,x,y,z,xn,yn,zn,error
904,28.890186,8.888479,-11.029131,0.971515,-0.170482,-0.164604,58.661318
905,29.539918,9.395696,-10.299193,0.994728,-0.009653,-0.102096,110.966176
906,28.506480,9.578220,-12.801007,0.927574,0.013285,-0.373402,66.857008
907,27.978941,9.306492,-13.561047,0.803957,-0.072791,-0.590216,47.817088
908,27.482383,8.831946,-14.150118,0.781262,-0.032428,-0.623361,51.861505
909,26.693493,8.253317,-14.547569,0.781262,-0.032428,-0.623361,51.486979
910,26.065607,7.603081,-15.230261,-0.758890,-0.026945,0.650661,103.779765
911,26.816503,6.691140,-14.722497,-0.790315,0.044727,0.611066,100.775667
912,25.484637,5.958598,-15.291651,0.748589,-0.045774,-0.661452,85.421770
913,25.369618,4.900868,-15.248989,0.777468,-0.167981,-0.606075,61.875989
914,25.254599,3.843138,-15.206327,0.776516,-0.194774,-0.599238,38.330209
915,25.072590,2.600638,-14.950293,-0.790388,0.213791,0.574091,30.321493
916,25.237027,2.035946,-14.784804,0.825973,-0.223933,-0.517322,10.708971
917,25.164837,1.137087,-14.599829,0.825345,-0.215498,-0.521887,4.797724
918,24.964928,0.165097,-14.379736,0.851470,-0.229385,-0.471574,1.454465
919,24.786601,-0.819394,-14.160919,0.874657,-0.233364,-0.424873,0.920563
920,24.620241,-1.769861,-13.921437,0.915976,-0.234152,-0.325824,4.422042
921,24.597178,-2.695518,-13.665565,0.914575,-0.245073,-0.321702,22.647282
922,24.434858,-3.639735,-13.408359,0.912906,-0.260944,-0.313864,5.831763
923,24.188846,-4.617046,-13.231388,0.910729,-0.277274,-0.306090,24.405131
924,24.083677,-5.489790,-12.807627,0.910391,-0.291151,-0.293972,62.019371
925,23.842508,-6.391820,-12.536525,0.906565,-0.307296,-0.289326,63.544963
926,23.598421,-7.344920,-12.242358,0.903062,-0.321928,-0.284327,50.124334
927,23.314034,-8.079714,-12.094487,0.900746,-0.332590,-0.279359,7.854886
928,23.109059,-9.255332,-11.723526,0.894139,-0.368247,-0.254775,42.064656
929,22.851581,-10.143038,-11.414109,0.884507,-0.391966,-0.253003,39.292631
930,22.561885,-11.068384,-11.194953,0.863498,-0.422258,-0.275808,44.609367
931,22.167303,-11.900388,-10.960349,0.870054,-0.420877,-0.256649,47.848849
932,21.827065,-12.831089,-10.690595,0.865383,-0.431914,-0.254094,57.868708
933,21.553705,-13.711397,-10.524671,0.858333,-0.446505,-0.252779,30.782840
934,20.974764,-14.574075,-10.257093,0.844791,-0.470026,-0.255741,50.822761
935,20.327020,-15.291574,-9.568217,0.835483,-0.496618,-0.235243,6.541996
936,19.785054,-15.941551,-9.057677,0.835483,-0.496618,-0.235243,49.599735
937,19.050829,-16.699575,-9.726821,0.809640,-0.546185,-0.214861,56.684619
938,19.328976,-17.587300,-9.508726,0.799104,-0.563530,-0.209444,49.107171
939,19.607124,-18.475026,-9.290630,0.791170,-0.586770,-0.172484,41.529723
940,18.772063,-19.173965,-9.080187,0.758312,-0.637973,-0.133993,43.373862
941,18.071646,-19.845209,-8.857280,0.590593,-0.670503,-0.449028,47.448834
942,17.453217,-20.484862,-8.618221,0.539477,-0.693220,-0.477924,37.389314
943,15.897732,-21.565638,-6.871869,0.483161,-0.792319,-0.372539,76.025004
944,15.430859,-22.288534,-6.745428,0.460354,-0.821335,-0.336873,16.379313
945,14.671268,-22.745218,-6.113065,-0.490180,0.830648,0.264095,22.246650
