index,u,v
1021,0.726562,0.464062
1022,0.722189,0.457186
1023,0.718717,0.450000
1024,0.714063,0.442974
1025,0.709369,0.436713
1047,0.632812,0.287500
1051,0.618750,0.264062
1052,0.614062,0.257006
1062,0.560005,0.195317
1063,0.555571,0.196506
1064,0.550127,0.200017
1065,0.545370,0.205793
1066,0.544280,0.212200
1067,0.543864,0.216743
1068,0.544278,0.229064
1069,0.545070,0.235075
1070,0.548896,0.247836
1071,0.549622,0.251894
1072,0.551907,0.259742
1073,0.555795,0.266106
1074,0.560212,0.272371
1075,0.565317,0.278870
1076,0.570296,0.284892
1077,0.575436,0.291140
1078,0.580460,0.297496
1079,0.584991,0.303839
1080,0.589475,0.310204
1081,0.593996,0.316818
1082,0.597590,0.323071
1083,0.601486,0.329889
1084,0.605234,0.337826
1085,0.607697,0.343294
1086,0.610898,0.350689
1087,0.612834,0.357040
1088,0.615148,0.364169
1089,0.616623,0.371213
1090,0.618154,0.378005
1091,0.619472,0.384784
1092,0.620268,0.391284
1093,0.620877,0.399268
1094,0.621258,0.405328
1095,0.621597,0.411984
1096,0.621555,0.418979
1097,0.621372,0.425878
1098,0.620879,0.432292
1099,0.620340,0.439084
1100,0.619679,0.445672
1101,0.618355,0.452302
1102,0.617492,0.459008
1103,0.615858,0.465077
1104,0.614243,0.470539
1105,0.612293,0.477910
1106,0.609621,0.483420
1107,0.608157,0.489022
1108,0.607434,0.496434
1109,0.606821,0.502818
1110,0.606992,0.510075
1111,0.607964,0.517181
1112,0.608571,0.524100
1113,0.607547,0.528986
1114,0.607812,0.532104
1117,0.728929,0.600769
1118,0.727677,0.606932
1119,0.725264,0.613449
1120,0.723205,0.619824
1121,0.720785,0.625245
1122,0.719319,0.630735
1124,0.714757,0.641108
1125,0.712893,0.647274
1126,0.710714,0.653573
1127,0.708571,0.659375
1128,0.704693,0.664835
1129,0.702104,0.669834
1130,0.699252,0.676562
1131,0.696875,0.682052
1132,0.694540,0.689063
1137,0.674837,0.757578
1139,0.665722,0.762593
1140,0.661212,0.763510
1141,0.655452,0.765662
1163,0.545312,0.829688
1164,0.546676,0.833041
1165,0.551324,0.835388
1166,0.546903,0.834221
1167,0.544818,0.831287
1225,0.764062,0.485125
1226,0.763031,0.483564
1227,0.760995,0.479055
1228,0.757609,0.474613
1229,0.753094,0.470813
1230,0.746854,0.465270
1231,0.740259,0.460773
1232,0.735621,0.455366
1233,0.730701,0.449701
1234,0.725975,0.443065
1235,0.721350,0.436464
1236,0.717306,0.429568
1237,0.712915,0.422059
1238,0.708578,0.414325
1239,0.704474,0.406997
1240,0.700725,0.399361
1241,0.697237,0.391896
1242,0.693477,0.384145
1243,0.689962,0.377162
1244,0.685690,0.368732
1245,0.680709,0.360925
1246,0.676527,0.354425
1247,0.672552,0.347245
1248,0.669769,0.340323
1249,0.665234,0.333327
1250,0.661898,0.327005
1251,0.657656,0.320956
1252,0.654329,0.315399
1253,0.651072,0.310596
1254,0.647933,0.305659
1255,0.644350,0.301303
